input_text,target_text
"generate a board that has a table showing species id.","{""table"": {""title"": ""random"", ""attributes"": [""species_id""]}}"
"make a board with a table including species name and species id.","{""table"": {""title"": ""random"", ""attributes"": [""species_name"", ""species_id""]}}"
"generate a board that shows species id and latest extraction date in a table.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""benchling_extraction_benchling_completion_date_max""]}}"
"make a board with a table showing species id, species name, and if the species is novel.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""species_name"", ""calc_is_novel""]}}"
"create a board with a table including species id, specimen count, and project manager status.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""calc_no_null_tolid_tolid_count"", ""calc_pm_status""]}}"
"build a board with a table that has species id and a boolean field indicating if recollection is needed.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""calc_recollection_needed""]}}"
"make a board with a table showing species id, remaining tissue weight sum, and sample count.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""calc_sample_calc_benchling_remaining_weight_sum"", ""calc_sample_count""]}}"
"generate a board with a table including species epithet, species id, and species name.","{""table"": {""title"": ""random"", ""attributes"": [""calc_species_epithet"", ""species_id"", ""species_name""]}}"
"create a board with a table showing species id and max tissue prep weight in mg.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""calc_tissue_prep_calc_benchling_weight_mg_max""]}}"
"make a board with a table including species id, specimen needed psyche, and tissue prep count.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""calc_specimen_needed_psyche"", ""calc_tissue_prep_count""]}}"
"generate a board with a table including species id and boolean indicating if any individual is exhausted.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""calc_tolid_calc_individual_exhausted_max""]}}"
"create a board with a table showing species id, all individuals exhausted boolean, and latest extraction date.","{""table"": {""title"": ""random"", ""attributes"": [""species_id"", ""calc_tolid_calc_individual_exhausted_min"", ""benchling_extraction_benchling_completion_date_max""]}}"
